STRAP-IML,nom_en,nom_fr,verbatimIdentification,aphiaID,scientificName,aphiaID_corr,lifeStage,Occurrences_2004-2022,taxonRank,occurenceRemarks,identificationRemarks,taxonomicRemarks,note_CN,name_sugg,STRAP-IML_sugg
8680,"Ascidians, Sessile Tunicates (Ascidiacea)","Ascidies, tuniqués sessiles (Ascidiacea)",Ascidiacea,1839,Ascidiacea,1839,,655,Class,incertain,,,incertain,Ascidiacea,8680
8742,Sea squirts (Ascidia sp.),Ascidie (Ascidia sp.),Ascidia sp.,103483,Ascidia,103483,,527,Genus,,,,incertain,Ascidia,8742
8757,Tunicate (C. finmarkiensis),Ascidie (C. finmarkiensis),Cnemidocarpa finmarkiensis,103870,Cnemidocarpa finmarkiensis,103870,,3,Species,,,,,Cnemidocarpa finmarkiensis,8757
8759,Blood Drop Sea Squirt,Ascidie goutte de sang,Dendrodoa carnea,103881,Dendrodoa carnea,103881,,1,Species,,,,,Dendrodoa carnea,8759
8760,Tunicate (Didemnum sp.),Ascidie (Didemnum sp.),Didemnum sp.,103456,Didemnum,103456,,1,Genus,,,,incertain,Didemnum,8760
8761,Tunicate (D. pulchella),Ascidie (D. pulchella),Dendrodoa pulchella,103885,Dendrodoa pulchella,103885,,6,Species,,,,,Dendrodoa pulchella,8761
8776,Tunicate (S. pulmonaria),Ascidie (S. pulmonaria),Synoicum pulmonaria,103692,Synoicum pulmonaria,103692,,14,Species,,,,,Synoicum pulmonaria,8776
8778,Tunicate (E. vitreum),Ascidie (E. vitreum),Eudistoma vitreum,103624,Eudistoma vitreum,103624,,172,Species,,,,,Eudistoma vitreum,8778
8781,Tunicate (P. corrugata),Ascidie (P. corrugata),Pelonaia corrugata,103894,Pelonaia corrugata,103894,,4,Species,,,,,Pelonaia corrugata,8781
8783,Tunicate (P. fibrosa),Ascidie (P. fibrosa),Polycarpa fibrosa,103902,Polycarpa fibrosa,103902,,40,Species,,,,,Polycarpa fibrosa,8783
8792,Sea Potato (B. ovifera),Patate de mer (B. ovifera),Boltenia ovifera,103815,Boltenia ovifera,103815,,282,Species,,,,,Boltenia ovifera,8792
8793,Cactus Sea Squirt (B. echinata),Cactus de mer (B. echinata),Boltenia echinata,103814,Boltenia echinata,103814,,36,Species,,,,,Boltenia echinata,8793
8797,Sea Peach,PÍche de mer,Halocynthia pyriformis,103828,Halocynthia pyriformis,103828,,22,Species,,,,,Halocynthia pyriformis,8797
8798,Tunicate (Botrylloides sp.),Ascidie (Botrylloides sp.),Botrylloides sp.,103528,Botrylloides aureus,1307332,,42,Species,,,,,Botrylloides aureus,8798
8800,Tunicates (Styela Sp.),Ascidies (Styela sp.),Styela sp.,103543,Styela,103543,,1,Genus,,,,incertain,Styela,8800
8801,Tunicate (S. rustica),Ascidie (S. rustica),Styela rustica,103937,Styela rustica,103937,,3,Species,,,,,Styela rustica,8801
8802,Tunicate (S. coriacea),Ascidie (S. coriacea),Styela coriacea,103930,Styela coriacea,103930,,1,Species,,,,,Styela coriacea,8802
8812,Sea Grapes (M. griffithsii),Ascidie (M. griffitsii),Molgula griffithsii,250885,Molgula griffithsii,250885,,1,Species,,,,,Molgula griffithsii,8812
9100,Red Algae,Algues rouges,Rhodophyta,852,Rhodophyta,852,,122,Division,likely for Ptiloteae,,,souvent Ptiloteae,Rhodophyta,9100
9200,Brown Algae (Phaeophyta),Algues brunes (Phaeophyta),Phaeophyta,829,Phaeophyceae,830,,167,Class,incertain,,,incertain si débris ou valide,Phaeophyceae,9200
9202,Brown Algae (Agarum sp.),Algues brunes (Agarum sp.),Agarum sp.,157205,Agarum clathratum,157207,,15,Species,expect 1 species,,,incertain si débris ou valide, , 
9203,Sea Colander,Laminaire criblée,Agarum clathratum,157207,Agarum clathratum,157207,,42,Species,,,,incertain si débris ou valide,Agarum clathratum,9203
9206,Brown Seaweed (C. crispus),Mousse d'Irlande (C. crispus),Chondrus crispus,145625,Ptiloteae,172527,,22,Tribe,common at shallow depths,not Chondrus crispus,former species Ptilota serrata is now a group in NW Atlantic,capture valide mais était mis en Chondrus en erreur avant,Ptiloteae,9162
9215,Brown Algae (Fucales),Algues brunes (Fucales),Fucales,844,Fucales,844,,84,Genus,likely coastal debris,,,débris du littoral,Fucales,9215
9218,Brown Algeas (Ascophyllum sp.),Algues brunes (Ascophyllum sp.),Ascophyllum sp.,144128,Ascophyllum,144128,,1,Genus,likely coastal debris,,,débris du littoral,Ascophyllum,9218
9220,Kelps (Laminaria sp.),Laminaires (Laminaria sp.),Laminaria sp.,144199,Laminaria,144199,,234,Genus,likely coastal debris,,,débris du littoral; probablement Laminariales,Laminaria,9220
9950,Whelk Eggs (Neptunea sp.),Oeufs de neptunées (Neptunea sp.),Oeufs de neptunées (Neptunea sp.), ,Neptunea despecta,491164,oeuf,0,,error - not recorded,,,est un erreur--confirmé en feuille et photo, , 
9965,,Capsule de raie lisse,Capsule de raie lisse, ,Malacoraja senta,158554,oeuf,237,,,placeholder name,,,Capsule de raie lisse,9965
9966,,Capsule de raie épineuse,Capsule de raie épineuse, ,Amblyraja radiata,105865,oeuf,216,,,placeholder name,,,Capsule de raie épineuse,9966
9967,,Capsule de raie à queue épineuse,Capsule de raie à queue épineuse, ,Bathyraja spinicauda,105868,oeuf,1,,1 dead case,placeholder name,,,Capsule de raie à queue épineuse,9967
9968,,Capsule de raie ronde,Capsule de raie ronde,  ,Rajella fyllae,105894,oeuf,2,,,placeholder name,,,Capsule de raie ronde,9968
9970,Skates Eggs,Capsule de raies,Capsule de raies, ,Rajidae,105711,oeuf,415,,,before separation of eggs by skate species,,,Capsule de raies,9970
9995,Trash,Déchets,Déchets,, , ,,3184,,"capture remains, not a taxon", ,,pour les restants dans les captures pas évalués,Déchets,9995
9999,Unknown,Inconnu,Inconnu,,Biota,1,,51,, ,placeholder name,,photo et conserve,Inconnu,9999
48,Basking shark,requin pélerin,Cetorhinus maximus,,Cetorhinus maximus,105837,,3,Species,in photos,,,selon photos,Cetorhinus maximus,48
